Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
ОП д. Ширяйка;76114;22.05.2017;д. Ширяйка а/д Нагорье – Кубринск – гр. Московской области, 17км+910м (справа), 17км+800м (слева);Департамент транспорта Ярославской области;30;2;а/д Нагорье – Кубринск – гр. Московской области, 17км
ОП г. Цимлянск;61076;20.10.2016;347320 г. Цимлянск Ростовская область, г. Цимлянск, ул. Морская, 11б;"ПАО ""Донавтовокзал""";120;1;ул. Московская, ул. Краснознаменская, ул. Морская
Остановочный пункт п. Нижнебаканский 118км;23455;05.06.2017;п. Нижнебаканский а/д А-146 «Краснодар - Верхнебаканский», 118км+950м (справа), 118км+778м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-146 Краснодар - Верхнебаканский, п. Нижнебаканский, ул. Ленина
ОП с. Каракол;4046;22.03.2017;"с. Каракол АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай)  620км.+ 228м. (справа), 620км.+ 181м. (слева)";"ФКУ Упрдор ""Алтай""";12;5;"АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай), 620 км, с. Каракол"
"ОП ""Линия""";76092;22.05.2017;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 318км+883м (справа), 318км+864м (слева);Департамент транспорта Ярославской области;30;2;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 318км
ОП г. Знаменск;30012;22.05.2017;416540 г. Знаменск Астраханская область, г. Знаменск, зона Т ?, стр. 1;"ГП Астраханской области ""ПАТП №3""";12;2;"а/д ""Страхань - Ахтубинск - Волгоград"", г. Знаменск (зона Т 1/2)"
ОП с. Бурлит;25038;20.04.2017;с. Бурлит а/д А-370 «Уссури» Хабаровск– Владивосток 255км+576м (справа), 255км+570м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 255"
Абадзехская автокасса;1052;02.02.2017;385774  ст. Абадзехская Республика Адыгея, ст. Абадзехская, ул. Почтовая, 33Б;"АО ""Объединение автовокзалов и пассажирских автостанций""";12;5;1 вариант: ст. Абадзехская (ул. Шоссейная, ул. Почтовая), 2 вариант: ст. Абадзехская (ул. Интернациональная, ул. Телеграфная, ул. Клубная, ул. Почтовая)
ОП пгт. Лучегорск;25002;20.04.2017;пгт. Лучегорск а/д А-370 «Уссури» Хабаровск– Владивосток 270км+553м (справа), 270км+770м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 270"
АС с. Ведено;20004;20.10.2016;366330 с. Ведено Чеченская Республика, Веденский район, с. Ведено, ул. А. Кадырова;"ГУП ""Автопассажирсервис""";12;5;с. Ведено (ул. А. Кадырова)
ОП пгт Линево;54040;05.05.2017;"пгт Линево а/д Р-25 ""Чуйский тракт"" Новосибирск – Барнаул – Горно-Алтайск – Граница с Монголией, 78км+187м (справа)";"ФКУ ""Сибуправтодор""";12;5;"а/д Р-256 ""Чуйский тракт"", 78 км"
ОП с. Пшада 1474км;23393;05.05.2017;с. Пшада а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1474км+944м (справа);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1474км"
АВ г. Бугульма;16003;22.03.2017;423239 г. Бугульма Республика Татарстан, г. Бугульма, ул. Ягофарова, 18;"ООО ""Бугульминское АТП""";80;10;1 вариант: г. Бугульма (ул. Тухачевского, ул. Ягофарова), 2 вариант: г. Бугульма (ул. Бурова, ул. Ягофарова), 3 вариант: г. Бугульма (ул. Ленина, ул. Радищева, ул. Ягофарова)
ОП ст. Курская;26031;02.08.2016;357850 ст. Курская Ставропольский край, ст. Курская, ул. Садовая, д. 1;"ОАО ""Автовокзал""";20;5;1 вариант: ст. Курская (ул. Моздокская, ул. Садовая), 2 вариант:  ст. Курская (пер. Пролетарский, ул. Садовая), 3 вариант: ст. Курская (ул Советская, ул. Садовая)
Остановочный пункт пов. п/л Дубна;69157;05.06.2017;п/л Дубна а/д «Дубна – Кимры – Горицы», 11км+82м (справа), 11км+57м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Дубна – Кимры – Горицы», 11км
АС с. Байкалово;72009;05.12.2016;с. Байкалово Тюменская область, Тобольский район, с. Байкалово, ул. Дорожная, 5;"ОАО ""Тобольское ПАТП""";3;5;с. Байкалово (ул. Дорожная)
ОП г. Мелеуз;2153;22.05.2017;г. Мелеуз Республика Башкортостан, г. Мелеуз, ул. Смоленская, 38;"ООО ""Автовокзал Иремель""";4;2;Р-240, г. Мелеуз (ул. Бурангулова, ул. Смоленская)
АС с. Шира;19011;19.01.2017;655200 с. Шира Республика Хакасия, с. Шира, ул. Щетинина, 115;"ОАО ""Автовокзал"" г. Абакан";4;1;1 вариант: с. Шира (ул. Щетина), 2 вариант: с. Шира (ул. Курортная, ул. Щетина)
АВ № 1 г. Нальчик;7003;21.11.2016;360021 г. Нальчик КБР, г. Нальчик, ул. Темрюка Идарова, 124а;"ГУП ""Каббалкавтотранс-1438""";24;5;г. Нальчик (ул. Темрюка Идарова, ул. Гагарина)
АВ г. Армавирский;23008;02.02.2017;352900 г. Армавир Краснодарский край, г. Армавир, ул. Ефремова, д. 145;"АФ ""Кубаньпассажиравтосервис"" ОАО";22;10;г. Армавир (ул. Ефремова)
АС ст. Ленинградская;23031;13.10.2016;353740 ст. Ленинградская Краснодарский край, ст. Ленинградская, ул. Кооперации, 88;"АФ ""Кубаньпассажиравтосервис"" ОАО";10;10;ст. Ленинградская (ул. Жлобы, ул. Ленина, ул. Кооперации), ст. Ленинградская (ул. Староминская, ул. Крестьянская,  переулок Базарный, ул. Жлобы, ул. Кооперации), ст. Ленинградская (ул. Красная, ул. Набережная, ул. Ленина, ул. Жлобы, ул. Кооперации), ст. Ленинградская (пер. Элеваторный, ул. 302 дивизии, ул. Победы, ул. ул. Крестьянская,  переулок Базарный, ул. Жлобы, ул. Кооперации)
АВ г. Барнаул;22165;21.11.2016;656015 г. Барнаул Алтайский край, г. Барнаул, пл. Победы, 12;"ООО ""Барнаульский автовокзал""";20;5;Со стороны Павловска, Камня-на-Оби, Славгорода, Павлодара (Павловский тракт, пр-т Строителей, пл. Победы, ул. Привокзальная), Со стороны Горно-Алтайска, Бийска, Кемерово, Красноярска, Новосибирска (Правобережный тракт, ул. Мамонтова, пр-т Красноармейский, пр-т Строителей, пл. Победы, ул. Привокзальная), Со стороны Рубцовска, Усть-Каменогорска, Семипалатинска (Замеиногорский тракт, ул. Аванесова, пр-т Красноармейский, пр-т Строителей, пл. Победы, ул. Привокзальная)
АС г. Приморско-Ахтарск;23023;13.10.2016;353680 г. Приморско-Ахтарск Краснодарский край, г. Приморско-Ахтарск, ул. Тамаровского, 2;"АФ ""Кубаньпассажиравтосервис"" ОАО";5;10;г. Приморско-Ахтарск (ул. Фестивальная, ул. Победы, ул. Тамаровского)
АС г. Ртищево;64029;13.10.2016;г. Ртищево Саратовская область, г. Ртищево, ул. 50 лет Октября, 1А;"ОАО ""Саратовское объединение автовокзалов и автостанций""";3;5;1 вариант: г. Ртищево (ул. Совесткая, ул. 50 лет Октября), 2 вариант: г. Ртищево (Сердобинский проезд, ул. 50 лет Октября)
"Остановочный пунт с. Майма ""Ветеринарная станция""";4115;05.06.2017;с. Майма а/д Р-256 «Чуйский тракт» 439км+100м (слева);"Администрация муниципального образования ""Майминский район""";30;1;а/д Р-256 «Чуйский тракт», 439км
Кассовый пункт с. Малояз;2042;20.08.2016;452490 с. Малояз Республика Башкортостан, Салаватский район, с. Малояз, ул. 60 Лет СССР, 8;"ГУП ""Башавтотранс""";12;4;Трасса Кропачёво - Ачит - с. Малояз (ул. 60 лет СССР)
ОП пов. с. Бурла;22124;05.05.2017;с. Бурла а/д К-03 «Змеиногорск – Рубцовск – Волчиха – Михайловское – Кулунда – Бурла – граница Новосибирской области» 436км+912м (справа);"КГКУ ""Алтайавтодор""";30;2;а/д К-03 «Змеиногорск – Рубцовск – Волчиха – Михайловское – Кулунда – Бурла – граница Новосибирской области» 436км
Остановочный пункт ст. Кирпильская 103км;1156;05.06.2017;ст. Кирпильская а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 103км+325м (справа) 103км+455м (справа);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 103км
АВ г. Салават;2057;20.08.2016;453200 г. Салават Республика Башкортостан, г. Салават, ул.Уфимская, 33;"ГУП ""Башавтотранс""";21;4;г. Салават (ул. Вокзальная)
АС с. Ярково;72023;29.09.2016;с. Ярково Тюменская область, с. Ярково, ул. Первомайская, 46;"ГБУ ТО ""Объединение АВ и АС""";12;5;Р-404, ул. Первомайская
"КП ""Варгашинский""";45019;18.07.2016;рп Варгаши Курганская обл., рп Варгаши, ул. Социалистическая, 82а;Курганское ОАО по обслуживанию пассажирских автоперевозок;12;5;рп Варгаши (ул. Матросова), рп Варгаши (ул. Чкалова), рп Варгаши (ул. Социалистическая)
АВ г. Альметьевск;16002;22.05.2017;г. Альметьевск Республика Татарстан, г. Альметьевск, ул. Герцена, 1 «А»;"АО ""Альметьевское ПОПАТ""";12;5;М7, М5, Р239, г. Альметьевск (ул. Зарипова, ул. Бигаш, ул. Советская, ул. Герцена, ул. Шоссейная, ул. Геофизическая)
Остановочный пункт ст. Новоалексеевская 19км;23055;05.06.2017;ст. Новоалексеевская а/д Р-217 «Кавказ» а/д М-4 «Дон» – Владикавказ – Грозный – Махачкала – граница с Азербайджанской Республикой, 19км+916м (справа), 19км+508м (слева);"ФКУ Упрдор ""Черноморье""";12;5;"а/д Р-217 ""Кавказ"" а/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой. Подъезд к г. Майкоп, ст. Новоалексеевская, ул. Лабинская"
ОП с. Возрождение 1496км;23402;05.05.2017;с. Возрождение а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1496км+668м (справа), 1496км+597м (слева);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1496км"
АС с. Курчалой;20005;20.10.2016;366000 с. Курчалой Чеченская Республика, Курчалоевский район, с. Курчалой, ул. А. Шерипова;"ГУП ""Автопассажирсервис""";12;5;с. Курчалой (ул. А. Шарипова, ул. Западная)
АС г. Киреевск;71006;04.10.2016;301261 г. Киреевск Тульская область, г. Киреевск, ул. Зеленая;"ООО ""Актив инвест""";23;2;г. Киреевск (ул. Октябрьская, ул. Зеленая)
АС с. Большое Село;76008;19.01.2017;152360 с. Большое Село Ярославская обл., Большесельский р-н, с.  Большое Село, ул. Мясникова, д. 52-а;"ГБУ ЯО ""Яроблтранском""";7;5;"а/д ""Ярославль-Углич"", с. Большое Село (ул. Мясникова)"
ОП ст. Тацинская;61034;15.1  2.2016;347060 ст. Тацинская Ростовская область, ст. Тацинская, ул.Горького, 1А;"ПАО ""Донавтовокзал""";120;1;ст. Тацинская (ул.Советская, пер.Соревнования, ул.Максима Горького)
"Кассовый пукнт ""Хомутово""";57015;11.07.2016;пгт. Хомутово Орловская обл., пгт. Хомутово, ул. Кооперативная, 12;"АО ""Орелавтотранс""";18;10;пгт. Хомутово, ул. Кооперативная
"Кассовый пункт ""Дросково""";57004;11.07.2016;с. Дросково Орловская обл., с. Дросково, ул. Советская;"АО ""Орелавтотранс""";12;10;с. Дросково, ул. Советская
Остановочный пункт п. Вухтым;11037;05.06.2017;п. Вухтым а/д Р-176 «Вятка», Чебоксары – Йошкар-Ола – Киров – Сыктывкар, 622км+111м (справа), 622км+089м (слева);"ФКУ Упрдор ""Прикамье""";12;5;"а/д Р-176 ""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар, 622км"
ДКП г. Галич;44027;18.07.2016;157200 г. Галич Костромская обл., г. Галич, ул. Касаткиной, д. 1;"ЗАО ""Костромское предприятие по обслуживанию пассажиров автобусными перевозками""";7;2;г. Галич (ул. Железнодорожников), г. Галич (ул. Свободы), г. Галич (ул. Касаткиной)
ОП с. Еманжелинка;74158;03.04.2017;с. Еманжелинка а/д А-310 Челябинск – Троицк – граница с Республикой Казахстан, с. Еманжелинка 46км+451м (справа), 46км+423м (слева);"ФКУ Упрдор ""Южный Урал""";30;2;А-310 46 км, с. Еманжелинка
"Кассовый пункт г. Сургут ""Сити-Молл""";86049;05.08.2016;628408 г. Сургут г. Сургут, Югорский тракт , 38;"ООО ""Сургутавтотранс""";12;5;г. Сургут (ул. Энгельса), г. Сургут (Нефтеюганское шоссе)
АВ г. Назрань;6002;13.10.2016;"г. Назрань Республика Ингушетия, Насыр-Кортский административный окргу, г. Назрань, 120 м от перекрестка дороги ""Назрань-Магас"" и а/д М29";ИП Цычоев А.К.;45;1;"Республика Ингушетия, г. Назрань, Насыр-Кортский административный округ, 120 м от перекрестка дороги ""Назрань-Магас"" и а/д М29"
Остановочный пункт п. Цемдолина 5км-1;23415;05.06.2017;п. Цемдолина А-290 Новороссийск - Керчь, 5км+ 015м слева, 5км+043 справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 5км
АВ г. Уссурийск;25033;22.03.2017;692500 г. Уссурийск Приморский край, г. Уссурийск, ул. Чичерина, 121;"ООО ""Приморские Авто Линии""";30;8;г. Уссурийск (ул. Чичерина, ул. Волочаевская)
"АВ ""Иремель"" г. Уфа";2261;20.02.2017;450022 г. Уфа Республика Башкортостан, г. Уфа, ул. Менделеева, 141/2;"ООО ""Автовокзал Иремель""";12;2;1 вариант: северный въезд 315 г. Уфа (ул. Зеленая Роща, ул. Энергетиков, ул. Грибоедова, ул. Войкова, ул. Кемеровская, ул. Комарова, ул. Тоннельная, пр. Октября, ул. 50 лет СССР, ул. Менделеева), Р240, г. Уфа (ул. Аэропорт, пр. С. Юлаева, ул. Сочинская, ул. Менделеева), М5, Дема СУ-280, г. Уфа (пр. с. Юлаева, ул.Сочинская, ул. Менделеева), М7, г. Уфа (Затонское ш., пр. Октября, ул. Айская, пр. С. Юлаева, ул. Сочинская, ул. Менделеева)
ОП Жилая Застройка 26км;50480;20.04.2017;Жилая Застройка а/д М-1 «Беларусь» Москва – граница с Республикой Беларусь 26км+489м (справа);"ГК ""Автодор""";12;2;"а/д М-1 ""Беларусь"": Съезд в остановочный карман км 26"
АВ г. Коломна;50014;02.02.2017;140408 г. Коломна Московская область, г. Коломна, пл. Восстания, 5, пом. 2,4,5,6,7;"ГУП МО ""Мострансавто""";3;5;1 вариант: из г. Рязань, г. Луховицы: г. Коломна (ул. Октябрьской Революции, пл. Восстания), 2 вариант: из г. Котельники: г. Коломна (ул. Октябрьской Революции, пл. Восстания), 3 вариант: из г. Домодедово: г. Коломна (ул. Октябрьской Революции, пл. Восстания)
"АС ""Лотошино""";50027;02.02.2017;143800 п. Лотошино Московская область, Лотошинский р-н, пос. Лотошино, ул. Центральная, д. 32;"ГУП МО ""Мострансавто""";4;2;д. Марково, д. Нововасильевское, д. Звягино, д. Стрешневы Горы, д. Максимово, д. Палкино, с. Микулино, д. Введенское, д. Званово, п. Торфяной, д.Ошейкино, д. Коноплево, д. Михалево, д. Орешково, д. Володино, д. Ошенево, д. Павловское, д. Хилово, д. Хранево, д. Пеньи/ д. Митенево, д. Панигино,  с. Пушкино, д. Квашкино, д. Трояново, д. Лебедево, д. Сидорово, д. Степурино, д. Чудово, д. Дворики, д. Бабынино, д. Десятины, д. Попадьино, д. Льгово, г. Тверь, г. Старица
ОП г. Сальск;61004;20.10.2016;347640 г. Сальск Ростовская область, г. Сальск, ул. Чкалова, 92;"ПАО ""Донавтовокзал""";35;1;ул. Трактовая, ул. Чкалова
АВ г. Владимир;33003;26.07.2016;600006 г. Владимир Владимирская область, г. Владимир, ул. Вокзальная, д. 1;"ГУП ""Владимирский автовокзал""";52;5;1 вариант. Из г. Рязань, г. Воронеж, г. Касимов, г. Муром, г. Меленки, г. Гусь-Хрустальный, г. Судогда (Судогодское шоссе, ул. Муромская, Ерофеевский спуск, ул. Лунчарсого, ул. Усти-на-Лабе, ул. Вокзальная), 2 вариант. Из г. Москва, г. Александров, г. Кольчугино, г. Красный Октябрь (Московское шоссе, пр-т Ленина, ул. Студеная Гора, ул. Дворянская, ул. Б.Московская, ул. Карла Маркса, ул. Вокзальная), 3 вариант. Из г. Юрьев-Польский (ул. Горького, ул. Мира, ул. Усти-на-Лабе, ул. Вокзальная)
АС с. Нылга;18045;05.12.2016;с. Нылга Республика Удмуртия, с. Нылга, ул. Ленина, 129;"АО ""Автовокзалы Удмуртии""";15;;с. Нылга (ул. Ленина)
ОП с. Опарино;42045;05.05.2017;"с. Опарино а/д Р-255 ""Сибирь"" Новосибирск – Кемерово – Красноярск – Иркутск, 194км+104м (справа)";"ФКУ ""Сибуправтодор""";12;5;"а/д Р-255 ""Сибирь"", 194 км"
"АВ ""Михайловский"" г. Михайловка";34010;19.01.2017;403340 г. Михайловка Волгоградская обл., г. Михайловка, ул. Серафимовича, 15;"ГУП ""ВОП "" Вокзал-Авто""";20;1;"Р22 ""Каспий"", г. Михайловка (ул. Фрунзе, ул. Гоголя, ул. Коммуны, ул. Энгельса)"
Остановочный пунтк д. Лебедево;69100;05.06.2017;д. Лебедево а/д «Тверь – Лотошино – Шаховская – Уваровка», 11км+169м (справа), 10км+730м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Тверь – Лотошино – Шаховская – Уваровка», 11км
АВ п. Первомайский;56018;05.12.2016;461980 п. Первомайский ул. 60 лет СССР, 43 а;"МУП ""Первомайское автотранспортное пассажирское предприятие""";3;10;"Р246 ""Бугульма-Бугуруслан-Бузулук-Уральск"", п. Первомайский (ул. 60 лет СССР)"
АВ г. Баймак;2005;20.08.2016;453630 г. Баймак Республика Башкортостан, г. Баймак, ул. С.Есенина, 13;"ГУП ""Башавтотранс""";10;2;С северной стороны - г. Баймак (ул. Сосновая, ул. Есенина)
Красногвардейская автокасса;1004;02.02.2017;385300 с. Красногвардейское Республика Адыгея, с. Красногвардейское, ул. Первомайская, 1;"АО ""Объединение автовокзалов и пассажирских автостанций""";24;5;с. Красногвардейское (ул. Первомайская)
АВ г. Кузнецк;58004;19.01.2017;г. Кузнецк Пензенская обл., г. Кузнецк, ул. Белинского, 134;"ОАО ""Кузнецкое ПАТП""";37;5;"1 вариант: со стороны г. Самара: М5, ""Восточный"" подъезд к г. Кузнецк, г. Кузнецк (ул. Правды, ул. Белинского), 2 вариант: со стороны г. Пенза: М5, ""Западный"" подъезд к г. Кузнецк, г. Кузнецк (ул. Белинского), 3 вариант: М5, г. Кузнецк (ул. Алексеевское шоссе, ул. Победы, ул. Белинского), 4 вариант: М5, г. Кузнецк ул. Сухановская, ул. Республики, ул. Пензенская, ул. Правды, ул. Белинского)"
АС г. Заринск;22005;21.11.2016;659100 Алтайский край, г. Заринск Алтайский край, г. Заринск, ул. Воинов Интернационалистов, 4;"ООО ""Перевозчик""";12;5;1 вариант: со стороны г. Барнаула (ул. Сорокинская, ул. Заринская, ул. молодежная, пр-т Строителей, ул. Воинов Интернационалистов), 2 вариант: со стороны г. Новосибирска, г. Кемерово (ул. Горького, ул. Заринская, ул. Молодежная, пр-т Строителей, ул. Воинов Интернационалистов), 3 вариант: со стороны г. Бийска, г. Новокузнецка (ул. Таратынова, ул. Железнодорожная, ул. Воинов Интернационалистов)
АС г. Таруса;40019;13.10.2016;г. Таруса Калужская область, г. Таруса, ул. Комсомольская, 2;"ОАО ""Автомобилист"" г. Таруса";17;2;г. Таруса (пл. Ленина, ул. Р. Люксембург, ул. Комсомольская)
АС г. Агидель;2001;20.08.2016;452920 г. Агидель Республика Башкортостан, г. Агидель, ул. Академика Курчатова, 4;"ГУП ""Башавтотранс""";6;2;С северо-западной  стороны  г. Агидель (ул. Академика Курчатова)
Кассовый пункт ст. Приазовская;23166;13.03.2017;353899 ст. Приазовская Краснодарский край, Приморско-Ахтарский р-н, ст. Приазовская, ул. Ленина, 25;"АФ ""Кубаньпассажиравтосервис"" ОАО";12;2;ст. Приазовская (ул. Ленина)
ОП г. Городовиковск;8001;05.05.2017;г. Городовиковск Республика Калмыкия, Городовиковский р-н, г. Городовиковск, пер. Западный, 31;ИП Гаммершмидт Вера Дмитриевна;60;2;г. Городовиковск (ул. Советская, пер. Западный)
ОП г. Вольск;64102;22.05.2017;г. Вольск Саратовская область, г. Вольск, ул. Малыковская, 12 «А»;"ОАО ""Саратовское объединение автовокзалов и автостанций""";12;5;1 вариант: г. Вольск (ул. Петровская, ул. Комсомольская, ул. Саратовская. ул. Малыковская), 2 вариант: г. Вольск (ул. Фирстова, ул. Максима Горького, ул. Малыковская)
ОП с. Наурузово;56064;05.05.2017;с. Наурузово а/д Р-239 Казань – Оренбург – Акбулак – граница с Республикой Казахстан, 506км+918м (справа);"ФКУ Упрдор ""Приуралье""";30;5;а/д Р-239 Казань – Оренбург – Акбулак – граница с Республикой Казахстан, 506 км
Горячеключевская автостанция;23012;02.02.2017;353290 г. Горячий ключ Краснодарский край, г. Горячий ключ, ул. Ярославского, д. 138;"АФ ""Кубаньпассажиравтосервис"" ОАО";7;10;г. Горячий ключ (ул. Ярославского)
Оостановочный пункт п. Гузерипль;1171;05.06.2017;п. Гузерипль а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 85км+105м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 85км
АС г. Новоржев;60006;05.12.2016;181340 г. Новоржев Псковская область, г. Новоржев, ул. Пушкина, 37;"ГП Псковской области ""Псковавтотранс""";8;10;г. Новоржев (ул. Пушкина)
АС г. Людиново;40004;18.07.2016;249406 г. Людиново Калужская область, г. Людиново, ул. Энгельса, д. 7/1;"ОАО ""Автомобилист"" г. Таруса";7;2;1 вариант. г. Людиново (Р68), г. Людиново (ул. Ленина), г. Людиново (ул. Энгельса), 2 вариант. г. Людиново (М3), г. Людиново (ул. Лясоцкого), г. Людиново (ул. Чугунова), г. Людиново (ул. Энгельса)
ОП д. Митькино;50485;20.04.2017;"д. Митькино а/д М-1 «Беларусь» Москва – граница с Республикой Беларусь 38км+000м (справа)(1км+430м транспортная развязка), 38км+000м (слева)(1км+225м транспортная развязка)";"ГК ""Автодор""";12;2;"а/д М-1 ""Беларусь"": Съезд в остановочный карман км 38 (1 км транспортная развязка)"
ОП г. Таганрог;61035;20.10.2016;347900 г. Таганрог Ростовская область, г. Таганрог, пл. Восстания, 11;"ПАО ""Донавтовокзал""";17;1;ул. Маршала Жукова, ул. Бакинская, ул. Щаденко, ул. Москатова, ул. Ленина, ул. Дзержинского, пл. Восстания
АВ г. Учалы;2063;20.08.2016;453700 г. Учалы  Республика Башкортостан,  г. Учалы, ул. Имангуловская, 2;"ГУП ""Башавтотранс""";9;2;1 вариант: с восточной стороны - г. Учалы (ул. Ленина, ул. Имангулова), 2 вариант: с западной стороны - г. Учалы (ул. Ленина, ул. Имангулова)
АС г. Узловая;71019;04.10.2016;301600 г. Узловая Тульская область, г. Узловая, ул. Привокзальная, д. 7а;"ООО ""Актив инвест""";25;2;М-4, г. Узловая (ул. Заводская, ул. Привокзальная)
ОП ст. Егорлыкская;61031;20.10.2016;347664 ст. Егорлыкская Ростовская область, ст. Егорлыкская, ул. Ворошилова, 140;"ПАО ""Донавтовокзал""";18;1;ул. Ворошилова
ОП пгт Тим;46016;13.10.2016;307060 пгт Тим Курская область, пгт Тим, с. 1-е Выгорное;"ООО ""Региональное объединение автостанций""";12;5;"Р-190 ""Лебеди-Тим"", пгт Тим , с. 1-е Выгорное"
ОП п. Пудожгорский;10050;20.05.2017;п. Пудожгорский а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 516км+205м (слева), 516км+253м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 516км
Остановочный пункт д. Чудово;69116;05.06.2017;д. Чудово а/д «Старица – Степурино – Сидорово – граница Московской области», 21км+319м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Старица – Степурино – Сидорово – граница Московской области», 21км
ОП х. Молькино;23314;05.05.2017;х. Молькино а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1364км+685м (справа), 1364км+662м (слева);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1364км"
АС г. Богучар;36003;21.11.2016;396790 г. Богучар Воронежская область, г. Богучар, ул. Дзержинского, 237а;ОАО Богучарское АТП;4;3;М4, ул. Дзержинского
ОП д. Шигуй;76016;22.05.2017;д. Шигуй а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 351км+400м (справа), 351км+390м (слева);Департамент транспорта Ярославской области;30;2;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 351км
АС г. Заволжье;52057;15.12.2016;г. Заволжье Нижегородская область, Городецкий р-н, г. Заволжье, ул. Привокзальная;"ООО ""Экипаж""";17;2;Р-152, г. Заволжье (ул. Пономарева, ул. Баумана, ул. Привокзальная)
Остановочный пункт п. Верхнебаканский 17км;23423;05.06.2017;п. Верхнебаканский А-290 Новороссийск - Керчь, 17км+ 604 слева;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 17км
ОП с. Мартыново;22039;05.05.2017;с. Мартыново а/д К-05 «Бийск - Мартыново - Ельцовка - граница Кемеровской области» 99км+520м (справа);"КГКУ ""Алтайавтодор""";30;2;а/д К-05 «Бийск - Мартыново - Ельцовка - граница Кемеровской области» 99км
АВ  г. Камышлов;66018;21.11.2016;624860  г. Камышлов Свердловская обл., г. Камышлов, ул. Красных Орлов, д. 76;"ГУП СО ""Свердловское областное объединение пассажирского автотранспорта""";22;1;"1 вариант: 1Р351/Е22 ""Тюмень-Екатеринбург"", г. Камышлов (ул. Северная, ул. Леваневского, ул. Куйбышева, ул. Ленина, ул. Красных орлов), 2 вариант: 1Р351/Е22 ""Тюмень-Екатеринбург"", г. Камышлов (ул. Энгельса, ул. Московская, ул. Свердлова, ул. Ленина, ул. Красных орлов), 3 вариант: 1Р351/Е22 ""Тюмень-Екатеринбург"", г. Камышлов (ул. Ирбитская, ул. Кузнечная, ул. Урицкого, ул. Свердлова, ул. Красных орлов), 4 вариант: 65К-1304000, г. Камышлов (ул. Шадринская, ул. Ленина, ул. Красных орлов)"
АВ с. Старое Дрожжаное;16044;15.12.2016;с. Старое Дрожжаное Республика Татарстан, Дрожжановский р-н, с. Старое Дрожжаное, ул. Техническая, д. 3;"МУП ""Перспектива"" Дрожжановского муниципального района РТ";3;10;"а/д ""Казань - Ульяновск - Старое Дрожжаное"", с. Старое Дрожжаное (ул. Техническая)"
ОП п. Бутынь;50487;20.04.2017;п. Бутынь а/д М-1 «Беларусь» Москва – граница с Республикой Беларусь 48км+421м (справа), 48км+444м (слева);"ГК ""Автодор""";12;2;"а/д М-1 ""Беларусь"": Съезд в остановочный карман км 48"
ОП с. Колатсельга;10030;20.05.2017;с. Колатсельга а/д А-121 «Сортвала» Санкт-Петербург – Сортвала – автомобильная дорога Р-21 «Кола», 375км+575м (слева), 375км+609м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-121 «Сортвала» Санкт-Петербург – Сортвала – автомобильная дорога Р-21 «Кола», 375км
