Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
ОП г. Ковров;33008;02.02.2017;601900 г. Ковров Владимирская обл., г. Ковров, ул. Октябрьская, 10;"ГУП ""Владимирский автовокзал""";28;5;1 вариант: из городов Владимир, Вязники, Муром, Нижний Новгород: г. Ковров (ул. Комсомольская, пр-т Ленина, ул. Октябрьская), 2 вариант: из городов Иваново, Ярославль, Кострома: г. Ковров (Ивановское ш., ул. Федорова, ул. Абельмана, ул. Октябрьская)
Кассовый пункт г. Адыгейск;1059;13.03.2017;"385200 г. Адыгейск Республика Адыгея, г. Адыгейск, ул. Коммунистическая, 14""Г""";"АО ""Объединение автовокзалов и пассажирских автостанций""";12;5;г. Адыгейск (ул. Чуяко, пр-т Ленина, ул. Коммунистическая)
АС с. Малая Пурга;18007;05.12.2016;с. Малая Пурга Республика Удмуртия, с.  Малая Пурга, ул. Трактовая, 1Б;"АО ""Автовокзалы Удмуртии""";10;;с. Малая Пурга (ул. Трактовая)
АС г. Миасс (Предзаводская пл.);74138;20.02.2017;456304 г. Миасс Челябинская область, г. Миасс, Предзаводская пл., 2;"ООО ""Служба организации движения"" Магнитогорск";4;2;1 вариант: М5, г. Миасс (ул. Пушкина, ул. Пролетарская, ул. Советская, ул. 60 лет Октября, ул. Академика Павлова, ул. 8 Июля, Предзаводская пл.), 2 вариант: г. Миасс (ул. 8 Марта, ул. 60 лет Октября, ул. Академика Павлова, ул. 8 Июля, Предзаводская пл.)
АС с. Родино;22016;08.09.2016;659780 с. Родино Алтайский край, Родинский район, с. Родино, ул. Ленина, 190;"ООО ""Родинская автостанция""";8;5;1 вариант: со стороны Барнаула, Павловска: ул. Ленина, 2 вариант: со стороны Камня-на Оби, Новосибирска: ул. Ленина, 3 вариант: со стороны Славгорода, Павлодара: ул. Ленина, 4 вариант: со стороны Славгорода, Павлодара: ул. Советская
АВ г. Нижнекамск;16007;20.10.2016;423570 г.  Нижнекамск Республика Татарстан, Нижнекамский район, г. Нижнекамск, ул. Вокзальная, 7;"ООО ""Международный Автовокзал"" Нижнекамск""";30;5;ул. Вокзальная
Остановочный пункт п. Заря 34км;23427;05.06.2017;п. Заря А-290 Новороссийск - Керчь, 34км+ 365м слева, 34км+476м справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 34км
ОП ст. Вешенская;61030;20.10.2016;346270 ст. Вешенская Ростовская область, ст. Вешенская, ул. Советская, 1;"ПАО ""Донавтовокзал""";13;1;ул. Ленина, ул. Советская
АС г. Челябинск;74153;22.03.2017;454048 г. Челябинск Челябинская область, г. Челябинск, ул. Блюхера, 45;"ООО ""Служба организации движения"" Магнитогорск";28;2;"1 вариант: г. Челябинск (Бродокалмакский тракт, ул. Бажова, ул. Комарова, ул. Героев Танкограда, ул. Первой Пятилетки, ул. Труда, ул. Красная, ул. Воровского, Свердловский пр-т, ул. Блюхера), 2 вариант: г. Челябинск (Свердловский тракт, ул. Новомеханическая, а/д ""Меридиан"", ул. Артилерийская, ул. Первой Пятилетки, ул. Труда, ул. Красная, ул. Воровского, Свердловский пр-т, ул. Блюхера), 3 вариант:  г. Челябинск (Новоградский пр-т, пр-т Победы, Свердловский пр-т, ул. Братьев Кашириных, ул. Каслинская, мост через реку Миасс, ул. Красная, ул. Воровского, Свердловский пр-т, ул. Блюхера), 4 вариант: г. Челябинск (Уфимский тракт, ул. Блюхера, ул. Воровского, ул. Красная, ул. Воровского, Свердловский пр-т, ул. Блюхера), 5 вариант: г. Челябинск (Троицкий тракт, ул. Дарвина, ул. Блюхера, ул. Воровского, ул. Красная, ул. Воровского, Свердловский пр-т, ул. Блюхера), 6 вариант: г. Челябинск (Уфимский тракт, ул. Блюхера, ул. Салтыкова, ул. Карпинского, ул. Камышовая, ул. Железнодорожная, ул. Свободы, ул. Труда, ул. Красная, ул. Воровского, Свердловский пр-т, ул. Блюхера), 7 вариант: г. Челябинск (Уфимский тракт, ул. Блюхера), 8 вариант: г. Челябинск (Троицкий тракт, ул. Дарвина, ул. Блюхера)"
"АВ  ""Тамбов"" г. Тамбов";68017;20.10.2016;392014 г. Тамбов Тамбовская область, г. Тамбов, ул. Киквидзе, 77;"ООО ""Автовокзал"", Тамбов";3;5;Со стороны г. Москвы: Р-22, ул. Киквидзе
"Кассовый пункт ""Шацк""";62019;20.02.2017;391550 г. Шацк Рязанская область, г. Шацк, ул. Революционная, 39;"ООО ""ПассажирСервис""";5;2;г. Шацк (ул. Комсомольская, ул. Карла Маркса, ул. Революционная)
